query/response,user1,user2,user3
در چنین سال، مخنثی، دور از دوستان که سخن در وصف او ترک ادب است، خاصه در حضرت بزرگان و به طریقِ اهمال از آن در گذشتن هم نشاید که طایفه‌ای بر عجز گوینده حمل کنند، بر این دو بیت اقتصار کنیم که اندک، دلیل بسیاری باشد و مشتی نمودار خرواری,,,
"برو شادی کن ای یار دل افروز
غم فردا نشاید خورد امروز",,,
"هر که علم شد به سخا و کرم
بند نشاید که نهد بر درم",,,
"سخنی در نهان نباید گفت
که بر انجمن نشاید گفت",,,
"q8 = ""صبر قفا خورد و به راهی گریخت
عقل بلا دید و به کنجی نشست""",,,
"شرط عقل است صبر تیرانداز
که چو رفت از کمان نیاید باز",,,
"نه آیین عقل است و رای و خرد
که دانا فریب مشعبد خورد",,,
"از آن تیره دل مرد صافی درون
قفا خورد و سر بر نکرد از سکون",,,
"گدایی که از پادشه خواست دخت
قفا خورد و سودای بیهوده پخت",,,
"نه عقل است و نه معرفت یک جوم
اگر من دگر تنگ ترکان روم",,,
"در آن آتش نداری طاقت سوز
به صبر آبی بر این آتش زن امروز",,,
"گر از بسیط زمین عقل منعدم گردد
به خود گمان نبرد هیچکس که نادانم",,,
"مکن صبر بر عامل ظلم دوست
که از فربهی بایدش کند پوست",,,
"وفا در که جوید چو پیمان گسیخت؟
خراج از که خواهد چو دهقان گریخت؟",,,
"چه نیکی طمع دارد آن بی‌صفا
که باشد دعای بدش در قفا؟",,,
"q9 = ""هر که بیفتاد به تیرت نخاست
وان که درآمد به کمندت نجست
ما به تو یک باره مقید شدیم
مرغ به دام آمد و ماهی به شست
صبر قفا خورد و به راهی گریخت
عقل بلا دید و به کنجی نشست
بار مذلت بتوانم کشید
عهد محبت نتوانم شکست
وین رمقی نیز که هست از وجود
پیش وجودت نتوان گفت هست""",,,
عابد طعام‌های لذیذ خوردن گرفت و کسوت‌های لطیف پوشیدن و از فواکه و مشموم و حلاوات تمتّع یافتن و در جمال غلام و کنیزک نظر کردن و خردمندان گفته‌اند زلف خوبان زنجیر پای عقل است و دام مرغ زیرک,,,
"شرط عقل است صبر تیرانداز
که چو رفت از کمان نیاید باز",,,
"دام هر بار ماهی آوردی
ماهی این بار رفت و دام ببرد",,,
"گدایی که از پادشه خواست دخت
قفا خورد و سودای بیهوده پخت",1,,
روزی دو بلا و محنت کشید و سختی دید,,,
"وین شکم بی هنر پیچ پیچ
صبر ندارد که بسازد به هیچ",,,
"به نامردی از هم بدادیم دست
چو ماهی که با جوشن افتد به شست",,,
سرهنگ زاده ای را بر در سرای اغلمش دیدم که عقل و کیاستی و فهم و فراستی زاید الوصف داشت هم از عهد خردی آثار بزرگی در ناصیه او پیدا,,,
"نه آیین عقل است و رای و خرد
که دانا فریب مشعبد خورد",,,
گر جور شکم نیستی، هیچ مرغ در دام صیاد نیوفتادی بلکه صیاد خود دام ننهادی,,,
"q10 = ""ببرد از من قرار و طاقت و هوش
بت سنگین دل سیمین بناگوش
نگاری چابکی شنگی کلهدار
ظریفی مه وشی ترکی قباپوش
ز تاب آتش سودای عشقش
به سان دیگ دایم می‌زنم جوش
چو پیراهن شوم آسوده خاطر
گرش همچون قبا گیرم در آغوش
اگر پوسیده گردد استخوانم
نگردد مهرت از جانم فراموش
دل و دینم دل و دینم ببرده‌ست
بر و دوشش بر و دوشش بر و دوش
دوای تو دوای توست حافظ
لب نوشش لب نوشش لب نوش""",,,
"دو درویش در مسجدی خفته یافت
پریشان دل و خاطر آشفته یافت",,,
"ملک را بود بر عدو دست، چیر
چو لشکر دل آسوده باشند و سیر",,,
"نکند دوست زینهار از دوست
دل نهادم بر آنچه خاطر اوست",1,,
"قرار بر کف آزادگان نگیرد مال 
نه صبر در دل عاشق نه آب در غربال",1,,
"بخندید و بگریست مرد خدای
عجب داشت سنگین دل تیره رای",,,
"دل زنده هرگز نگردد هلاک
تن زنده دل گر بمیرد چه باک؟",,,
"بدیعی که شخص آفریند ز گل
روان و خرد بخشد و هوش و دل",,,
"آتش از خانهٔ همسایهٔ درویش مخواه
کآنچه بر روزن او می‌گذرد دود دل است",,,
"به سختی بنه گفتش، ای خواجه، دل
کس از صبر کردن نگردد خجل",,,
"مدامش به خون دست و خنجر خضاب
بر آتش دل خصم از او چون کباب",,,
